"Image type","Feature Class","Feature Name","Segmentation_segment_Segment_1","Segmentation_segment_Segment_3"
"diagnostics","Versions","PyRadiomics","2.2.0.post43+gf719e5e","2.2.0.post43+gf719e5e"
"diagnostics","Versions","Numpy","1.13.1","1.13.1"
"diagnostics","Versions","SimpleITK","1.1.0rc2.post31","1.1.0rc2.post31"
"diagnostics","Versions","PyWavelet","0.5.2","0.5.2"
"diagnostics","Versions","Python","2.7.13","2.7.13"
"diagnostics","Configuration","Settings","{'distances': [1], 'force2Ddimension': 0, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'normalizeScale': 1, 'normalize': False, 'additionalInfo': True, 'padDistance': 5, 'removeOutliers': None, 'minimumROISize': None, u'binWidth': 25.0, 'label': 1, 'correctMask': True, 'preCrop': False, u'symmetricalGLCM': True, 'resegmentRange': None, 'minimumROIDimensions': 2}","{'distances': [1], 'force2Ddimension': 0, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'normalizeScale': 1, 'normalize': False, 'additionalInfo': True, 'padDistance': 5, 'removeOutliers': None, 'minimumROISize': None, u'binWidth': 25.0, 'label': 1, 'correctMask': True, 'preCrop': False, u'symmetricalGLCM': True, 'resegmentRange': None, 'minimumROIDimensions': 2}"
"diagnostics","Configuration","EnabledImageTypes","{u'Original': {}}","{u'Original': {}}"
"diagnostics","Image-original","Hash","1e942840e2f04034f65a094a344aae1bab2e2e61","1e942840e2f04034f65a094a344aae1bab2e2e61"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.6641, 0.6641, 1.0)","(0.6641, 0.6641, 1.0)"
"diagnostics","Image-original","Size","(512, 512, 192)","(512, 512, 192)"
"diagnostics","Image-original","Mean","76.853225946426392","76.853225946426392"
"diagnostics","Image-original","Minimum","0.0","0.0"
"diagnostics","Image-original","Maximum","2876.0","2876.0"
"diagnostics","Mask-original","Hash","64d8890121aae044d613ebe76189a0b7e806daee","d7d6248eb266f987b0cb7dea59f544675664c73f"
"diagnostics","Mask-original","Spacing","(0.6641, 0.6641, 1.0)","(0.6641, 0.6641, 1.0)"
"diagnostics","Mask-original","Size","(9, 11, 7)","(15, 17, 11)"
"diagnostics","Mask-original","BoundingBox","(0, 0, 0, 9, 11, 7)","(0, 0, 0, 15, 17, 11)"
"diagnostics","Mask-original","VoxelNum","310","1258"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(3.3225806451612905, 5.564516129032258, 2.8999999999999999)","(6.3799682034976151, 8.493640699523052, 4.9093799682034973)"
"diagnostics","Mask-original","CenterOfMass","(-67.66902006914661, -67.40420065445431, -19.977403259277402)","(-67.70713114663776, -67.35713228171726, -19.968023291073898)"
"diagnostics","Mask-corrected","Spacing","(0.6641, 0.6641, 1.0)","(0.6641, 0.6641, 1.0)"
"diagnostics","Mask-corrected","Size","(512, 512, 192)","(512, 512, 192)"
"diagnostics","Mask-corrected","BoundingBox","(365, 418, 74, 9, 11, 7)","(362, 415, 72, 15, 17, 11)"
"diagnostics","Mask-corrected","VoxelNum","310","1258"
"diagnostics","Mask-corrected","VolumeNum","1","1"
"diagnostics","Mask-corrected","CenterOfMassIndex","(368.32258064516128, 423.56451612903226, 76.900000000000006)","(368.37996820349764, 423.49364069952304, 76.909379968203496)"
"diagnostics","Mask-corrected","CenterOfMass","(-67.66902006914694, -67.40420065445437, -19.977403259277352)","(-67.70713114663809, -67.35713228171733, -19.968023291073862)"
"diagnostics","Mask-corrected","Mean","721.91290322580642","91.87440381558028"
"diagnostics","Mask-corrected","Minimum","280.0","0.0"
"diagnostics","Mask-corrected","Maximum","1455.0","464.0"
"original","shape","VoxelVolume","136.71893110000002","554.81424298000002"
"original","shape","Maximum3DDiameter","9.39423036177","13.9833425507"
"original","shape","MeshVolume","132.74967181","552.333455924"
"original","shape","MajorAxisLength","7.879335736763311","12.609953653765931"
"original","shape","Sphericity","0.838305379499","0.569657646889"
"original","shape","LeastAxisLength","4.5339276461690776","9.3144439009800966"
"original","shape","Elongation","0.70790130539823759","0.81451462939000552"
"original","shape","SurfaceVolumeRatio","1.13084752722","1.03467290466"
"original","shape","Maximum2DDiameterSlice","7.33522425151","11.4641434647"
"original","shape","Flatness","0.57542003509442197","0.73865805987307187"
"original","shape","SurfaceArea","150.119638105","571.484461182"
"original","shape","MinorAxisLength","5.5777920537257319","10.270991726922304"
"original","shape","Maximum2DDiameterColumn","8.05462830676","12.8492365921"
"original","shape","Maximum2DDiameterRow","8.78782361225","13.5833776595"
"original","gldm","GrayLevelVariance","147.030062435","12.6753654197"
"original","gldm","HighGrayLevelEmphasis","486.183870968","31.1899841017"
"original","gldm","DependenceEntropy","6.27590207874","6.14041957403"
"original","gldm","DependenceNonUniformity","124.116129032","135.572337043"
"original","gldm","GrayLevelNonUniformity","9.16129032258","195.311605723"
"original","gldm","SmallDependenceEmphasis","0.634840501792","0.189088276854"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","277.292047491","10.0356780933"
"original","gldm","DependenceNonUniformityNormalized","0.400374609781","0.107768153452"
"original","gldm","LargeDependenceEmphasis","3.6064516129","55.6915739269"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","0.0897497288405","49.1664803965"
"original","gldm","DependenceVariance","0.814318418314","22.8253239679"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","2487.97096774","315.401430843"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.0225797977676","0.0170377784548"
"original","gldm","LowGrayLevelEmphasis","0.0336875681381","0.380938168887"
"original","glcm","JointAverage","21.6259973984","4.27864189397"
"original","glcm","SumAverage","43.2519947969","8.55728378795"
"original","glcm","JointEntropy","8.48350398737","6.17415369971"
"original","glcm","ClusterShade","2369.87666799","201.253986681"
"original","glcm","MaximumProbability","0.00813055968161","0.17649397777"
"original","glcm","Idmn","0.941826003039","0.968397104921"
"original","glcm","JointEnergy","0.00302205454557","0.0434653694891"
"original","glcm","Contrast","155.441621701","13.0010282338"
"original","glcm","DifferenceEntropy","4.5213046576","2.98319730629"
"original","glcm","InverseVariance","0.101366719874","0.266294862757"
"original","glcm","DifferenceVariance","49.3571354788","6.34529984042"
"original","glcm","Idn","0.838486635169","0.89320987345"
"original","glcm","Idm","0.0984041310392","0.396576440772"
"original","glcm","Correlation","0.483128062362","0.474402194589"
"original","glcm","Autocorrelation","539.044505429","24.1711357661"
"original","glcm","SumEntropy","6.01627720713","4.15951923511"
"original","glcm","MCC","0.660392417026","0.521856457166"
"original","glcm","SumSquares","148.807339718","12.3567803859"
"original","glcm","ClusterProminence","418630.026364","4311.26248918"
"original","glcm","Imc2","0.993985318118","0.666401035078"
"original","glcm","Imc1","-0.414324613775","-0.0968458927925"
"original","glcm","DifferenceAverage","10.1092293288","2.54053749254"
"original","glcm","Id","0.177061491083","0.468406215097"
"original","glcm","ClusterTendency","439.787737173","36.4260933097"
"original","firstorder","InterquartileRange","483.25","142.0"
"original","firstorder","Skewness","0.486864323168","0.928971631874"
"original","firstorder","Uniformity","0.0295525494277","0.155255648429"
"original","firstorder","Median","688.5","67.0"
"original","firstorder","Energy","189982043.0","21145464.0"
"original","firstorder","RobustMeanAbsoluteDeviation","194.233610822","58.9495394866"
"original","firstorder","MeanAbsoluteDeviation","253.187783559","75.9047115946"
"original","firstorder","TotalEnergy","83787554.3457","9325758.82482"
"original","firstorder","Maximum","1455.0","464.0"
"original","firstorder","RootMeanSquared","782.84436512","129.648736641"
"original","firstorder","90Percentile","1209.7","229.0"
"original","firstorder","Minimum","280.0","0.0"
"original","firstorder","Entropy","5.2778370411","3.2516420456"
"original","firstorder","Range","1175.0","464.0"
"original","firstorder","Variance","91687.0601561","8367.88883609"
"original","firstorder","10Percentile","349.9","0.0"
"original","firstorder","Kurtosis","2.17958213441","3.08391474685"
"original","firstorder","Mean","721.912903226","91.8744038156"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.0333990194386","0.211516364789"
"original","glrlm","GrayLevelVariance","145.722607782","12.8102052427"
"original","glrlm","LowGrayLevelRunEmphasis","0.0339063283416","0.296648831499"
"original","glrlm","GrayLevelNonUniformityNormalized","0.0295226936335","0.116972966059"
"original","glrlm","RunVariance","0.0268148782703","0.408895306255"
"original","glrlm","GrayLevelNonUniformity","8.9160491962","120.92751973"
"original","glrlm","LongRunEmphasis","1.08094038555","1.91884952765"
"original","glrlm","ShortRunHighGrayLevelEmphasis","467.553276871","33.8980344236"
"original","glrlm","RunLengthNonUniformity","286.779880169","752.962216184"
"original","glrlm","ShortRunEmphasis","0.980342463518","0.876358790218"
"original","glrlm","LongRunHighGrayLevelEmphasis","535.786355819","44.0584577421"
"original","glrlm","RunPercentage","0.974193548387","0.817965023847"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.0359467397195","1.03420646457"
"original","glrlm","RunEntropy","5.38379366372","4.11305167741"
"original","glrlm","HighGrayLevelRunEmphasis","481.014467053","35.6801597372"
"original","glrlm","RunLengthNonUniformityNormalized","0.949351422644","0.728577769784"
"original","glszm","GrayLevelVariance","134.738170603","12.5076988769"
"original","glszm","ZoneVariance","0.797824851879","570.645049428"
"original","glszm","GrayLevelNonUniformityNormalized","0.0296647999351","0.0866673567621"
"original","glszm","SizeZoneNonUniformityNormalized","0.60449638828","0.290823456343"
"original","glszm","SizeZoneNonUniformity","134.198198198","80.8489208633"
"original","glszm","GrayLevelNonUniformity","6.58558558559","24.0935251799"
"original","glszm","LargeAreaEmphasis","2.74774774775","591.122302158"
"original","glszm","SmallAreaHighGrayLevelEmphasis","345.086367618","32.6054600923"
"original","glszm","ZonePercentage","0.716129032258","0.220985691574"
"original","glszm","LargeAreaLowGrayLevelEmphasis","0.0753036144326","563.537711824"
"original","glszm","LargeAreaHighGrayLevelEmphasis","1722.29279279","1401.34172662"
"original","glszm","HighGrayLevelZoneEmphasis","438.0","55.226618705"
"original","glszm","SmallAreaEmphasis","0.805688501001","0.550869320759"
"original","glszm","LowGrayLevelZoneEmphasis","0.0358699454434","0.0717057515598"
"original","glszm","ZoneEntropy","5.9480606604","5.74535487868"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.028956121964","0.0353183456133"
"original","ngtdm","Coarseness","0.0170279410299","0.00337891417249"
"original","ngtdm","Complexity","6081.18043159","274.489415752"
"original","ngtdm","Strength","18.0966706002","0.934855353882"
"original","ngtdm","Contrast","0.828303239354","0.16695374554"
"original","ngtdm","Busyness","0.101111745221","6.90074424748"
